Amine,Concentration (m),Temperature (K),CO2​ Loading (mol/mol_alk),PCO2∗​ (Pa),Target -> kg′​ (mol/s·Pa·m²),Source
AMP,4.8,333.15,0.294,3810,5.60E-07,Chen 2011
AMP,4.8,333.15,0.449,11700,3.00E-07,Chen 2011
AMP,4.8,333.15,0.603,30200,1.60E-07,Chen 2011
AMP,4.8,353.15,0.15,4850,6.70E-07,Chen 2011
AMP,4.8,353.15,0.297,18200,4.10E-07,Chen 2011
AMP,4.8,353.15,0.449,51000,2.20E-07,Chen 2011
AMP,4.8,373.15,0.15,18500,4.60E-07,Chen 2011
AMP,4.8,373.15,0.296,63600,3.00E-07,Chen 2011
MAPA,8,313.15,0.28,4,8.17E-05,Chen 2011
MAPA,8,313.15,0.396,30,1.75E-05,Chen 2011
MAPA,8,313.15,0.474,890,4.70E-07,Chen 2011
MAPA,8,313.15,0.516,7120,1.40E-07,Chen 2011
MAPA,8,333.15,0.285,30,3.50E-05,Chen 2011
MAPA,8,333.15,0.39,220,4.70E-06,Chen 2011
MAPA,8,333.15,0.474,5920,4.80E-07,Chen 2011
MAPA,8,333.15,0.504,35300,1.00E-07,Chen 2011
MAPA,8,353.15,0.278,210,9.35E-06,Chen 2011
MAPA,8,353.15,0.399,1890,2.14E-06,Chen 2011
MAPA,8,353.15,0.487,36400,1.20E-07,Chen 2011
MAPA,8,373.15,0.393,13800,1.94E-06,Chen 2011
MDEA/PZ,7m/2m,313.15,0.093,190,1.65E-06,Chen 2011
MDEA/PZ,7m/2m,313.15,0.166,950,1.03E-06,Chen 2011
MDEA/PZ,7m/2m,313.15,0.237,2840,6.10E-07,Chen 2011
MDEA/PZ,7m/2m,313.15,0.286,5260,4.80E-07,Chen 2011
MDEA/PZ,7m/2m,333.15,0.093,1250,1.68E-06,Chen 2011
MDEA/PZ,7m/2m,333.15,0.166,4410,9.80E-07,Chen 2011
MDEA/PZ,7m/2m,333.15,0.237,13500,5.40E-07,Chen 2011
MDEA/PZ,7m/2m,333.15,0.273,19600,4.50E-07,Chen 2011
MDEA/PZ,7m/2m,353.15,0.027,1270,2.76E-06,Chen 2011
MDEA/PZ,7m/2m,353.15,0.093,5620,1.23E-06,Chen 2011
MDEA/PZ,7m/2m,353.15,0.166,17600,6.80E-07,Chen 2011
MDEA/PZ,7m/2m,373.15,0.027,5210,1.63E-06,Chen 2011
MDEA/PZ,7m/2m,373.15,0.093,19800,7.60E-07,Chen 2011
MDEA/PZ,5m/5m,313.15,0.18,240,1.95E-06,Chen 2011
MDEA/PZ,5m/5m,313.15,0.23,640,1.61E-06,Chen 2011
MDEA/PZ,5m/5m,313.15,0.28,2160,1.18E-06,Chen 2011
MDEA/PZ,5m/5m,313.15,0.33,3540,6.40E-07,Chen 2011
MDEA/PZ,5m/5m,313.15,0.37,6590,4.10E-07,Chen 2011
MDEA/PZ,5m/5m,333.15,0.18,1450,2.18E-06,Chen 2011
MDEA/PZ,5m/5m,333.15,0.23,3700,1.30E-06,Chen 2011
MDEA/PZ,5m/5m,333.15,0.28,8770,8.20E-07,Chen 2011
MDEA/PZ,5m/5m,333.15,0.33,18300,4.80E-07,Chen 2011
MDEA/PZ,5m/5m,333.15,0.37,28200,3.50E-07,Chen 2011
MDEA/PZ,5m/5m,353.15,0.18,6730,1.65E-06,Chen 2011
MDEA/PZ,5m/5m,353.15,0.23,16900,8.80E-07,Chen 2011
MDEA/PZ,5m/5m,373.15,0.18,26700,9.10E-07,Chen 2011
1MPZ,8,313.15,0.1,100,2.18E-06,Chen 2011
1MPZ,8,313.15,0.15,350,2.21E-06,Chen 2011
1MPZ,8,313.15,0.2,1320,1.21E-06,Chen 2011
1MPZ,8,313.15,0.26,5550,4.80E-07,Chen 2011
1MPZ,8,333.15,0.1,6160,4.25E-06,Chen 2011
1MPZ,8,333.15,0.15,2150,2.16E-06,Chen 2011
1MPZ,8,333.15,0.2,6410,1.09E-06,Chen 2011
1MPZ,8,333.15,0.26,22950,4.00E-07,Chen 2011
1MPZ,8,353.15,0.1,3650,3.00E-06,Chen 2011
1MPZ,8,353.15,0.15,10100,1.70E-06,Chen 2011
1MPZ,8,353.15,0.2,25300,7.30E-07,Chen 2011
1MPZ,8,373.15,0.1,12840,2.14E-06,Chen 2011
1MPZ,8,373.15,0.15,33010,1.05E-06,Chen 2011
2MPZ,8,313.15,0.102,10,1.91E-05,Chen 2011
2MPZ,8,313.15,0.154,40,5.92E-06,Chen 2011
2MPZ,8,313.15,0.203,120,2.81E-06,Chen 2011
2MPZ,8,313.15,0.253,320,1.97E-06,Chen 2011
2MPZ,8,313.15,0.3,960,8.90E-07,Chen 2011
2MPZ,8,313.15,0.365,4730,3.70E-07,Chen 2011
2MPZ,8,333.15,0.102,90,9.17E-06,Chen 2011
2MPZ,8,333.15,0.154,290,5.02E-06,Chen 2011
2MPZ,8,333.15,0.203,860,2.45E-06,Chen 2011
2MPZ,8,333.15,0.253,2260,1.68E-06,Chen 2011
2MPZ,8,333.15,0.3,4870,9.80E-07,Chen 2011
2MPZ,8,333.15,0.365,22410,2.80E-07,Chen 2011
2MPZ,8,353.15,0.102,590,6.28E-06,Chen 2011
2MPZ,8,353.15,0.154,1800,4.14E-06,Chen 2011
2MPZ,8,353.15,0.203,4060,2.45E-06,Chen 2011
2MPZ,8,353.15,0.253,9720,1.37E-06,Chen 2011
2MPZ,8,353.15,0.3,22060,7.40E-07,Chen 2011
2MPZ,8,373.15,0.102,2680,5.12E-06,Chen 2011
2MPZ,8,373.15,0.154,7390,2.90E-06,Chen 2011
2MPZ,8,373.15,0.203,18650,1.49E-06,Chen 2011
2MPZ/PZ,4m/4m,313.15,0.158,20,2.50E-05,Chen 2011
2MPZ/PZ,4m/4m,313.15,0.232,110,4.64E-06,Chen 2011
2MPZ/PZ,4m/4m,313.15,0.281,330,1.93E-06,Chen 2011
2MPZ/PZ,4m/4m,313.15,0.33,1010,1.12E-06,Chen 2011
2MPZ/PZ,4m/4m,313.15,0.391,5440,4.30E-07,Chen 2011
2MPZ/PZ,4m/4m,333.15,0.158,170,6.26E-06,Chen 2011
2MPZ/PZ,4m/4m,333.15,0.232,640,3.98E-06,Chen 2011
2MPZ/PZ,4m/4m,333.15,0.281,2010,1.85E-06,Chen 2011
2MPZ/PZ,4m/4m,333.15,0.33,5390,1.04E-06,Chen 2011
2MPZ/PZ,4m/4m,333.15,0.391,22830,2.80E-07,Chen 2011
2MPZ/PZ,4m/4m,353.15,0.158,1030,6.17E-06,Chen 2011
2MPZ/PZ,4m/4m,353.15,0.232,3630,2.82E-06,Chen 2011
2MPZ/PZ,4m/4m,353.15,0.281,8580,1.85E-06,Chen 2011
2MPZ/PZ,4m/4m,353.15,0.33,23950,7.40E-07,Chen 2011
2MPZ/PZ,4m/4m,373.15,0.158,4190,4.46E-06,Chen 2011
2MPZ/PZ,4m/4m,373.15,0.232,15750,1.94E-06,Chen 2011
HEP,7.7,313.15,0.066,80,3.60E-06,Chen 2011
HEP,7.7,313.15,0.13,280,1.98E-06,Chen 2011
HEP,7.7,313.15,0.199,1860,5.70E-07,Chen 2011
HEP,7.7,313.15,0.289,21120,1.10E-07,Chen 2011
HEP,7.7,333.15,0.064,390,2.64E-06,Chen 2011
HEP,7.7,333.15,0.131,1850,1.82E-06,Chen 2011
HEP,7.7,333.15,0.2,9150,5.00E-07,Chen 2011
HEP,7.7,333.15,0.278,69440,8.00E-08,Chen 2011
HEP,7.7,353.15,0.062,1770,2.72E-06,Chen 2011
HEP,7.7,353.15,0.132,8200,1.34E-06,Chen 2011
HEP,7.7,353.15,0.202,33220,3.40E-07,Chen 2011
HEP,7.7,373.15,0.063,6530,2.53E-06,Chen 2011
HEP,7.7,373.15,0.131,31650,6.70E-07,Chen 2011
AEP,6,313.15,0.1,10,4.72E-05,Chen 2011
AEP,6,313.15,0.197,60,3.03E-06,Chen 2011
AEP,6,313.15,0.292,1790,5.70E-07,Chen 2011
AEP,6,313.15,0.361,24950,8.00E-08,Chen 2011
AEP,6,333.15,0.099,60,5.57E-06,Chen 2011
AEP,6,333.15,0.199,540,2.19E-06,Chen 2011
AEP,6,333.15,0.295,8620,4.80E-07,Chen 2011
AEP,6,353.15,0.1,360,6.52E-06,Chen 2011
AEP,6,353.15,0.196,3230,2.94E-06,Chen 2011
AEP,6,353.15,0.298,40500,3.50E-07,Chen 2011
AEP,6,373.15,0.1,2000,5.62E-06,Chen 2011
AEP,6,373.15,0.199,12870,2.05E-06,Chen 2011
2-PE,8,313.15,0.205,120,2.14E-06,Chen 2011
2-PE,8,313.15,0.36,450,9.80E-07,Chen 2011
2-PE,8,313.15,0.514,1530,4.20E-07,Chen 2011
2-PE,8,313.15,0.684,5380,1.90E-07,Chen 2011
2-PE,8,333.15,0.202,920,1.61E-06,Chen 2011
2-PE,8,333.15,0.367,3500,8.30E-07,Chen 2011
2-PE,8,333.15,0.524,8920,4.20E-07,Chen 2011
2-PE,8,333.15,0.695,25230,1.60E-07,Chen 2011
2-PE,8,353.15,0.215,4100,1.23E-06,Chen 2011
2-PE,8,353.15,0.375,15370,6.90E-07,Chen 2011
